x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.712,0.001,0.189,0.704,0.001,0.189,1.183,2.686,875.620,240.885,54.107
0.699,0.001,0.189,0.691,0.001,0.189,1.184,2.747,879.240,240.885,26.181
0.673,0.001,0.193,0.666,0.001,0.191,1.180,1.936,881.050,260.729,27.926
0.660,0.001,0.193,0.654,0.001,0.193,1.181,2.686,888.289,246.297,59.343
0.647,0.001,0.193,0.641,0.001,0.193,1.180,2.747,875.620,258.925,50.616
0.634,0.000,0.195,0.629,0.001,0.193,1.179,1.936,873.811,253.513,38.398
0.608,-0.000,0.196,0.604,0.001,0.196,1.181,2.686,872.001,237.277,43.635
0.595,0.000,0.196,0.591,0.001,0.196,1.182,2.808,877.430,242.689,41.889
0.583,0.000,0.198,0.579,0.001,0.196,1.183,1.936,888.289,249.905,41.889
0.570,-0.000,0.200,0.566,0.001,0.198,1.181,2.119,881.050,257.121,41.889
0.544,0.000,0.200,0.541,0.001,0.200,1.179,2.808,877.430,257.121,34.908
0.531,0.000,0.202,0.529,0.001,0.200,1.178,2.058,890.099,262.533,47.125
0.519,-0.000,0.203,0.516,0.001,0.202,1.179,1.997,872.001,244.493,43.635
0.506,0.000,0.203,0.504,0.001,0.203,1.179,2.686,879.240,251.709,50.616
0.481,0.000,0.207,0.479,0.001,0.205,1.180,1.997,873.811,249.905,31.417
0.468,0.000,0.208,0.466,0.001,0.207,1.180,1.875,881.050,249.905,41.889
0.455,0.001,0.208,0.454,0.001,0.208,1.177,2.686,875.620,266.140,40.144
0.443,0.001,0.208,0.441,0.001,0.208,1.181,2.747,870.191,228.257,31.417
0.417,0.000,0.212,0.416,0.001,0.210,1.183,1.875,877.430,249.905,38.398
0.404,0.000,0.212,0.404,0.001,0.212,1.182,2.747,875.620,248.101,47.125
0.392,-0.000,0.212,0.391,0.000,0.212,1.183,2.808,886.479,248.101,40.144
0.379,-0.000,0.214,0.379,0.000,0.212,1.183,2.119,893.719,251.709,36.653
0.354,-0.000,0.216,0.354,0.000,0.216,1.182,2.808,890.099,255.317,54.107
0.341,-0.000,0.216,0.341,0.000,0.216,1.182,2.747,879.240,255.317,50.616
0.329,-0.001,0.217,0.329,0.000,0.216,1.181,2.119,875.620,251.709,40.144
0.316,-0.001,0.219,0.316,0.000,0.217,1.181,1.936,890.099,255.317,19.199
0.291,-0.001,0.219,0.291,0.000,0.219,1.181,2.747,882.860,248.101,26.181
0.279,-0.001,0.221,0.279,0.000,0.219,1.180,1.997,873.811,257.121,41.889
0.266,-0.001,0.222,0.266,0.000,0.221,1.180,1.875,881.050,249.905,34.908
0.253,-0.000,0.222,0.254,0.000,0.222,1.177,2.808,875.620,266.140,36.653
0.229,-0.000,0.224,0.229,0.000,0.222,1.180,2.119,908.197,258.925,29.672
0.216,-0.000,0.226,0.216,0.000,0.224,1.180,1.936,908.197,258.925,29.672
0.204,0.000,0.226,0.204,0.000,0.226,1.180,2.686,881.050,253.513,45.380
0.192,-0.000,0.226,0.191,0.000,0.226,1.181,2.747,873.811,242.689,45.380
