x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.720 -0.008 0.207 0.707 -0.003 0.207 1.183 2.808 888.289 260.729 34.908
0.707 -0.008 0.209 0.695 -0.003 0.207 1.184 2.058 877.430 242.689 48.871
0.693 -0.008 0.211 0.682 -0.003 0.209 1.184 2.119 888.289 246.297 38.398
0.680 -0.008 0.213 0.670 -0.003 0.211 1.183 1.997 870.191 249.905 41.889
0.667 -0.008 0.213 0.657 -0.003 0.213 1.183 2.869 875.620 248.101 47.125
0.653 -0.008 0.214 0.645 -0.003 0.213 1.183 1.936 864.762 244.493 47.125
0.640 -0.008 0.216 0.632 -0.003 0.214 1.183 2.119 884.669 249.905 45.380
0.627 -0.008 0.218 0.620 -0.003 0.216 1.183 1.997 881.050 246.297 52.361
0.614 -0.008 0.218 0.607 -0.002 0.218 1.184 2.808 877.430 242.689 34.908
0.601 -0.008 0.220 0.595 -0.002 0.218 1.183 2.119 877.430 253.513 34.908
0.588 -0.008 0.222 0.582 -0.002 0.220 1.182 1.997 888.289 257.121 48.871
0.575 -0.008 0.223 0.570 -0.002 0.222 1.183 2.058 870.191 235.473 38.398
0.562 -0.008 0.223 0.557 -0.002 0.223 1.183 2.869 879.240 251.709 33.162
0.549 -0.007 0.225 0.545 -0.002 0.223 1.182 2.119 888.289 257.121 41.889
0.536 -0.007 0.227 0.532 -0.002 0.225 1.181 1.997 881.050 257.121 38.398
0.523 -0.007 0.229 0.520 -0.002 0.227 1.182 2.119 875.620 244.493 29.672
0.511 -0.007 0.229 0.507 -0.002 0.229 1.183 2.747 872.001 237.277 40.144
0.498 -0.006 0.231 0.495 -0.002 0.229 1.185 2.180 888.289 235.473 27.926
0.485 -0.006 0.232 0.482 -0.002 0.231 1.185 1.997 877.430 249.905 45.380
0.472 -0.006 0.234 0.470 -0.002 0.232 1.186 2.180 862.952 231.865 38.398
0.460 -0.006 0.234 0.457 -0.002 0.234 1.185 2.869 873.811 249.905 45.380
0.447 -0.005 0.236 0.445 -0.002 0.234 1.185 2.119 872.001 248.101 50.616
0.434 -0.006 0.238 0.432 -0.002 0.236 1.185 1.997 875.620 244.493 50.616
0.421 -0.005 0.240 0.420 -0.002 0.238 1.185 2.058 873.811 242.689 45.380
0.408 -0.005 0.240 0.407 -0.002 0.240 1.183 2.808 877.430 257.121 27.926
0.396 -0.006 0.242 0.395 -0.002 0.240 1.181 2.119 870.191 260.729 31.417
0.383 -0.006 0.243 0.382 -0.002 0.242 1.183 2.058 879.240 237.277 43.635
0.370 -0.005 0.245 0.370 -0.002 0.243 1.184 2.119 873.811 239.081 34.908
0.358 -0.006 0.245 0.357 -0.001 0.245 1.186 2.808 882.860 233.669 29.672
0.345 -0.006 0.247 0.345 -0.001 0.245 1.185 2.119 872.001 248.101 50.616
0.333 -0.005 0.249 0.332 -0.001 0.247 1.186 2.119 868.381 237.277 43.635
