x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.374 1.598 0.719 0.760 0.760 0.755 1.052 -41.260 864.762 489.831 89.015
0.370 1.576 0.682 0.769 0.769 0.719 1.085 -42.419 917.246 484.419 48.871
0.367 1.553 0.648 0.778 0.778 0.682 1.103 -38.696 917.246 484.419 48.871
0.368 1.529 0.648 0.787 0.787 0.648 1.124 -51.208 902.768 462.771 83.778
0.368 1.505 0.599 0.795 0.795 0.648 1.150 -55.847 910.007 455.555 66.325
0.366 1.480 0.552 0.804 0.804 0.599 1.164 -54.932 915.436 453.752 50.616
0.366 1.455 0.504 0.813 0.813 0.552 1.189 -54.016 911.817 450.144 78.542
0.369 1.429 0.504 0.822 0.822 0.504 1.211 -56.519 913.626 430.300 83.778
0.371 1.402 0.443 0.831 0.831 0.504 1.241 -70.374 922.676 410.457 82.033
0.371 1.376 0.368 0.840 0.840 0.443 1.282 -86.304 953.442 405.045 59.343
0.372 1.349 0.294 0.849 0.849 0.368 1.322 -84.412 940.774 385.201 64.579
0.376 1.322 0.294 0.857 0.857 0.294 1.335 -59.021 911.817 359.946 71.561
0.381 1.294 0.249 0.866 0.866 0.294 1.334 -51.025 920.866 354.534 87.269
0.386 1.267 0.204 0.875 0.875 0.249 1.340 -52.124 919.056 338.299 85.524
0.391 1.239 0.173 0.884 0.884 0.204 1.344 -35.156 919.056 338.299 85.524
0.401 1.210 0.173 0.893 0.893 0.173 1.319 -15.320 895.528 318.455 97.741
0.411 1.182 0.166 0.902 0.902 0.173 1.292 -7.996 908.197 313.043 106.468
0.419 1.154 0.164 0.910 0.910 0.166 1.278 -3.052 931.725 329.279 111.705
0.428 1.125 0.162 0.919 0.919 0.164 1.258 -1.648 920.866 318.455 104.723
0.439 1.097 0.162 0.928 0.928 0.162 1.258 -12.085 913.626 307.631 97.741
0.449 1.067 0.131 0.937 0.937 0.162 1.269 -35.461 904.577 313.043 102.978
0.456 1.038 0.102 0.946 0.946 0.131 1.273 -33.752 904.577 298.612 92.505
0.464 1.009 0.069 0.955 0.955 0.102 1.286 -37.903 895.528 293.200 101.232
0.474 0.984 0.069 0.963 0.963 0.069 1.300 -37.415 908.197 291.396 113.450
