1_est 2_est 3_est 4_est 1_ref 2_ref 3_ref 4_ref
17.453 -1.134 -1.309 17.628 16.257 0.207 0.215 16.249
16.973 -2.094 -1.396 16.930 15.568 1.150 1.158 15.560
16.232 -0.611 -0.305 16.188 14.958 1.895 1.981 14.872
15.490 1.309 0.567 15.708 14.377 2.531 2.669 14.240
15.097 1.004 0.829 15.228 13.700 3.425 3.436 13.690
14.792 1.134 1.571 14.661 13.099 4.241 4.251 13.089
14.094 3.011 2.705 14.137 12.735 4.611 4.855 12.491
13.308 4.014 3.316 13.614 12.251 5.161 5.349 12.063
13.134 3.403 3.796 12.872 11.656 5.962 5.978 11.640
12.915 3.971 4.494 12.392 11.141 6.674 6.674 11.140
11.868 5.716 5.323 12.174 10.607 7.379 7.337 10.650
11.345 6.240 5.934 11.650 10.044 8.110 8.015 10.139
11.257 5.934 6.370 10.908 9.644 8.662 8.676 9.630
10.559 7.243 6.894 10.385 9.213 9.227 9.240 9.200
9.687 8.901 7.679 9.687 8.461 10.064 9.817 8.709
9.599 8.770 8.203 8.988 7.937 10.651 10.484 8.104
8.945 8.901 8.465 8.116 7.641 11.057 11.065 7.633
7.767 10.297 8.901 7.330 7.301 11.506 11.514 7.293
7.156 10.734 9.425 6.894 7.526 11.533 11.895 7.164
6.807 10.341 9.599 6.763 7.616 11.739 12.104 7.251
6.196 10.254 9.163 6.589 7.203 12.357 12.374 7.187
6.458 10.472 8.901 6.589 6.955 12.804 12.820 6.938
6.807 10.428 9.119 7.418 6.881 13.110 13.252 6.739
6.981 10.908 9.817 7.810 6.369 13.688 13.611 6.447
7.418 11.345 10.734 7.941 6.102 14.023 14.040 6.085
7.461 12.348 12.217 7.854 5.785 14.343 14.360 5.768
7.069 13.090 13.701 7.854 5.579 14.548 14.624 5.503
7.069 13.483 14.617 7.243 5.146 14.866 14.823 5.189
6.763 13.788 15.141 6.720 4.893 15.044 15.061 4.876
5.672 14.355 15.053 6.327 4.644 15.238 15.255 4.627
5.585 14.573 14.966 5.760 4.338 15.461 15.440 4.359
5.454 14.486 14.835 5.367 4.109 15.645 15.651 4.103
4.625 14.923 14.966 5.105 3.910 15.816 15.833 3.893
4.232 15.184 14.879 4.712 3.723 15.987 16.003 3.706
4.669 15.184 15.490 4.276 3.441 16.179 16.147 3.473
4.014 15.403 16.057 4.102 3.481 16.208 16.322 3.367
3.447 16.144 16.493 4.014 3.281 16.356 16.373 3.264
4.014 16.232 16.493 3.622 3.124 16.450 16.467 3.107
3.752 15.970 16.973 3.491 2.863 16.579 16.539 2.903
2.923 16.319 16.755 3.665 3.271 16.430 16.710 2.990
3.447 16.537 16.188 3.491 3.012 16.645 16.664 2.992
3.709 16.101 16.232 3.011 2.888 16.736 16.756 2.868
3.011 15.795 16.493 3.054 3.171 16.676 16.894 2.953
3.098 16.581 16.406 3.229 3.232 16.741 16.895 3.078
3.883 16.668 16.493 3.054 3.059 16.866 16.890 3.035
3.447 16.319 17.104 3.011 2.963 16.917 16.941 2.939
3.229 16.624 16.799 3.229 3.300 16.797 17.040 3.058
3.709 17.104 16.450 3.316 3.133 16.931 16.976 3.088
3.883 16.581 16.406 3.316 3.024 16.991 17.018 2.997
3.272 16.232 16.581 3.229 2.926 17.048 17.068 2.907
3.272 16.712 16.406 3.011 2.957 17.046 17.126 2.877
3.491 16.886 17.017 2.923 2.867 17.085 17.120 2.832
3.272 16.755 17.497 2.880 2.790 17.095 17.122 2.763
2.836 17.104 17.453 2.618 2.734 17.090 17.117 2.707
2.923 17.279 17.148 2.531 2.763 17.053 17.123 2.693
3.142 17.061 17.017 2.793 2.897 16.993 17.130 2.759
2.793 16.712 16.668 2.836 2.792 17.060 17.089 2.763
2.923 16.842 16.755 2.880 2.737 17.064 17.093 2.707
3.272 16.668 17.017 2.923 2.893 16.981 17.121 2.753
2.836 16.973 17.366 2.793 3.162 16.874 17.089 2.947
2.880 17.104 17.366 2.705 3.041 16.935 16.968 3.008
3.142 17.279 17.410 2.967 2.998 16.896 16.929 2.965
2.662 16.842 16.842 2.967 3.323 16.740 16.953 3.110
2.705 16.755 16.668 2.967 3.247 16.800 16.851 3.195
3.491 16.581 16.450 3.316 3.191 16.798 16.833 3.156
2.880 16.493 16.755 3.360 3.158 16.779 16.815 3.122
2.967 16.319 16.930 3.054 3.331 16.678 16.816 3.193
3.534 16.668 17.191 3.142 3.484 16.590 16.749 3.325
2.967 16.842 17.104 3.360 3.402 16.602 16.640 3.364
2.749 16.537 16.842 3.229 3.390 16.564 16.603 3.351
3.403 16.406 16.493 3.229 3.491 16.482 16.587 3.386
2.967 16.406 15.926 3.491 3.638 16.414 16.555 3.496
2.836 16.493 16.144 3.578 3.575 16.434 16.474 3.534
3.752 16.319 16.406 3.403 3.544 16.398 16.438 3.503
3.447 16.450 16.930 3.229 3.755 16.246 16.405 3.595
3.054 16.668 16.973 3.622 3.921 16.136 16.301 3.757
3.840 16.842 17.104 3.796 3.833 16.117 16.160 3.790
3.665 16.319 16.842 3.491 3.817 16.054 16.097 3.774
3.229 16.057 16.493 3.491 4.129 15.863 16.072 3.919
3.752 16.144 15.970 4.058 4.146 15.844 15.953 4.037
4.102 15.926 15.970 4.102 4.087 15.831 15.877 4.040
3.796 15.446 16.319 3.709 4.076 15.787 15.833 4.030
4.145 15.533 16.362 3.927 4.550 15.506 15.817 4.239
4.189 16.101 16.188 4.538 4.635 15.455 15.633 4.457
4.189 15.839 16.057 4.407 4.558 15.455 15.506 4.507
4.494 15.272 15.926 4.189 4.542 15.407 15.458 4.491
4.276 15.621 15.446 4.712 4.980 15.132 15.433 4.679
4.276 15.795 15.010 4.887 5.016 15.119 15.268 4.868
5.061 15.010 15.141 4.538 4.951 15.129 15.184 4.895
5.061 15.010 15.621 4.843 4.924 15.078 15.133 4.869
4.756 15.315 15.359 4.887 4.964 14.992 15.080 4.875
5.367 15.272 15.403 4.887 4.926 14.943 15.006 4.863
5.498 14.966 15.490 4.974 4.883 14.891 14.947 4.827
4.494 14.923 15.184 4.800 4.872 14.841 14.897 4.816
4.756 14.923 14.879 4.669 4.871 14.789 14.853 4.807
5.061 15.184 14.923 4.800 4.814 14.753 14.793 4.773
4.320 14.617 14.835 4.494 4.959 14.633 14.766 4.826
4.363 14.792 15.141 4.451 4.925 14.615 14.671 4.869
5.018 15.403 15.184 4.669 5.113 14.431 14.603 4.941
4.407 14.835 15.053 4.494 5.161 14.374 14.487 5.049
4.451 14.573 15.097 4.581 5.266 14.273 14.402 5.137
5.192 14.966 14.573 4.887 5.218 14.246 14.306 5.158
4.712 14.399 14.355 4.974 5.371 14.115 14.265 5.221
4.887 13.875 14.181 5.018 5.506 13.855 14.057 5.304
5.498 14.050 13.832 5.280 5.297 13.436 13.538 5.195
4.974 13.788 13.875 5.367 4.949 12.712 12.775 4.886
4.974 13.177 14.050 5.192 4.607 11.597 11.740 4.465
5.323 13.003 13.221 4.887 4.263 10.282 10.519 4.025
4.538 12.043 12.697 4.669 3.535 9.197 9.203 3.529
4.189 10.865 11.694 4.189 3.001 7.943 8.009 2.936
3.971 9.861 9.861 3.534 2.489 6.697 6.813 2.373
2.836 8.465 8.639 2.967 1.870 5.549 5.576 1.843
2.313 7.069 7.330 2.269 1.336 4.345 4.404 1.276
1.963 6.152 5.498 1.702 0.852 3.300 3.366 0.787
1.091 4.887 4.232 1.222 0.576 2.494 2.655 0.415
0.742 3.316 3.098 0.742 0.414 2.017 2.230 0.202
0.742 2.749 1.789 0.436 0.335 1.878 2.065 0.148
0.000 0.000 0.000 0.000 -0.297 -5.358 -5.288 -0.367
0.000 -0.349 -0.175 0.000 -0.330 -5.513 -5.370 -0.473
0.000 -1.484 -1.265 -0.087 -0.429 -5.933 -5.629 -0.733
0.000 -2.356 -1.876 -0.218 -0.592 -6.716 -6.017 -1.291
0.000 -3.229 -2.007 -0.611 -0.818 -7.859 -6.593 -2.085
-0.131 -4.451 -2.705 -0.960 -1.039 -9.126 -7.367 -2.799
-0.567 -5.411 -3.229 -1.745 -1.224 -10.454 -8.123 -3.554
-0.829 -6.283 -3.665 -2.749 -1.413 -11.859 -8.800 -4.473
-1.004 -7.723 -4.494 -3.534 -1.590 -13.277 -9.456 -5.410
-1.440 -9.687 -6.240 -4.320 -1.627 -14.637 -10.233 -6.032
-1.614 -11.388 -7.330 -5.411 -1.565 -16.006 -11.037 -6.534
-1.353 -13.352 -8.945 -5.934 -1.624 -17.227 -11.482 -7.368
-1.396 -14.835 -9.817 -6.109 -1.637 -18.098 -11.701 -8.034
-1.745 -16.144 -10.647 -6.981 -1.152 -18.561 -12.152 -7.562
-1.484 -17.017 -10.690 -7.854 -0.690 -18.681 -12.265 -7.106
-1.178 -17.671 -11.126 -7.549 -0.525 -18.655 -11.937 -7.244
-1.091 -17.802 -10.952 -6.720 -0.381 -18.631 -11.605 -7.406
-0.960 -17.977 -10.646 -7.112 0.148 -18.525 -11.650 -6.727
-0.436 -17.802 -10.036 -7.374 0.571 -18.456 -11.589 -6.295
-0.087 -17.671 -10.210 -5.890 0.929 -18.389 -11.490 -5.970
-0.131 -17.541 -10.341 -5.192 1.023 -18.357 -11.226 -6.109
0.175 -17.628 -10.385 -6.283 1.445 -18.098 -11.375 -5.278
0.480 -17.802 -10.297 -6.021 1.623 -17.810 -11.450 -4.737
0.524 -17.846 -10.952 -4.843 1.560 -17.478 -11.477 -4.441
0.611 -17.497 -11.432 -4.887 1.372 -17.128 -11.487 -4.269
0.916 -17.366 -11.257 -4.887 1.447 -16.622 -11.749 -3.425
0.916 -17.235 -11.257 -4.145 1.489 -16.097 -12.008 -2.599
1.265 -16.668 -11.170 -3.840 1.391 -15.638 -12.199 -2.048
1.571 -16.319 -11.083 -3.185 1.119 -15.266 -12.309 -1.838
1.396 -16.057 -10.996 -2.356 0.868 -14.853 -12.480 -1.506
1.134 -15.533 -11.345 -2.269 0.772 -14.378 -12.725 -0.881
1.178 -15.141 -11.606 -2.007 0.799 -13.918 -12.948 -0.171
0.654 -14.835 -12.086 -1.178 0.666 -13.692 -12.932 -0.094
0.393 -14.486 -12.697 -0.829 0.547 -13.573 -12.799 -0.227
0.349 -13.919 -13.134 -0.873 0.377 -13.124 -12.990 0.243
0.393 -14.050 -13.264 -0.698 0.657 -12.873 -12.945 0.729
0.305 -13.963 -12.828 -0.393 0.816 -12.932 -12.646 0.530
0.480 -13.352 -13.046 -0.175 0.848 -12.765 -12.578 0.660
0.480 -12.915 -12.566 0.000 0.960 -12.637 -12.506 0.830
0.742 -13.221 -11.825 -0.175 1.113 -12.535 -12.422 0.999
0.742 -12.697 -11.432 0.087 1.173 -12.563 -12.282 0.892
0.742 -12.479 -12.043 0.698 1.234 -12.395 -12.285 1.123
