x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.154 -0.003 0.194 0.156 -0.002 0.190 1.426 4.011 658.443 17.195 71.561
0.148 -0.005 0.196 0.157 -0.002 0.194 1.425 2.485 669.302 20.803 75.051
0.144 -0.006 0.196 0.159 -0.002 0.196 1.428 -0.506 636.726 9.979 92.505
0.142 -0.006 0.196 0.162 -0.002 0.196 1.429 2.808 625.867 9.979 85.524
0.140 -0.007 0.199 0.166 -0.002 0.196 1.427 3.889 649.394 18.999 97.741
0.143 -0.007 0.201 0.172 -0.002 0.199 1.426 2.546 651.204 9.979 85.524
0.152 -0.005 0.201 0.179 -0.002 0.201 1.426 0.349 629.486 20.803 85.524
0.162 -0.005 0.201 0.187 -0.002 0.201 1.426 2.686 629.486 20.803 85.524
0.168 -0.005 0.204 0.196 -0.002 0.201 1.425 2.851 672.922 13.587 89.015
0.176 -0.005 0.206 0.207 -0.002 0.204 1.424 1.997 654.824 20.803 92.505
0.188 -0.004 0.207 0.219 -0.002 0.206 1.426 1.020 636.726 9.979 82.033
0.201 -0.004 0.207 0.232 -0.002 0.207 1.425 3.296 647.584 20.803 89.015
0.212 -0.004 0.209 0.246 -0.002 0.207 1.425 2.851 669.302 9.979 89.015
0.226 -0.004 0.211 0.262 -0.002 0.209 1.423 2.546 658.443 24.411 92.505
0.244 -0.003 0.211 0.279 -0.002 0.211 1.427 0.043 642.155 4.567 97.741
0.262 -0.003 0.211 0.297 -0.002 0.211 1.429 3.052 634.916 4.567 90.760
0.279 -0.003 0.215 0.316 -0.002 0.211 1.428 3.828 678.351 8.175 87.269
0.298 -0.003 0.217 0.337 -0.002 0.215 1.427 2.302 654.824 13.587 89.015
0.320 -0.002 0.217 0.357 -0.002 0.217 1.432 0.104 625.867 -0.845 95.996
0.343 -0.002 0.217 0.379 -0.002 0.217 1.434 2.625 625.867 -0.845 95.996
0.364 -0.003 0.220 0.400 -0.002 0.217 1.433 3.217 656.633 15.391 87.269
0.385 -0.002 0.221 0.421 -0.002 0.220 1.433 1.569 633.106 9.979 82.033
0.409 -0.002 0.222 0.442 -0.002 0.221 1.436 1.142 640.345 -0.845 89.015
0.432 -0.002 0.222 0.464 -0.002 0.222 1.435 3.723 643.965 9.979 95.996
0.453 -0.002 0.224 0.485 -0.002 0.222 1.431 2.790 651.204 24.411 99.487
0.473 -0.002 0.226 0.506 -0.002 0.224 1.431 1.386 653.014 11.783 97.741
0.497 -0.001 0.226 0.527 -0.002 0.226 1.435 0.898 636.726 -4.453 89.015
