x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.101 -0.001 0.189 0.117 0.000 0.187 1.179 1.997 873.811 257.121 48.871
0.083 -0.001 0.189 0.103 0.000 0.189 1.179 2.625 884.669 253.513 52.361
0.068 -0.001 0.191 0.090 0.000 0.189 1.179 1.997 882.860 255.317 36.653
0.054 -0.001 0.192 0.078 0.000 0.191 1.179 1.875 882.860 255.317 36.653
0.041 -0.000 0.194 0.067 0.000 0.192 1.178 1.997 877.430 253.513 48.871
0.030 -0.000 0.194 0.058 0.000 0.194 1.179 2.686 879.240 248.101 47.125
0.020 -0.000 0.196 0.050 0.000 0.194 1.178 1.936 872.001 258.925 43.635
0.011 0.000 0.197 0.043 0.000 0.196 1.179 1.936 888.289 249.905 45.380
0.004 0.000 0.199 0.037 0.000 0.197 1.178 1.997 886.479 258.925 29.672
-0.003 0.000 0.199 0.033 0.000 0.199 1.179 2.686 886.479 251.709 47.125
-0.007 0.001 0.201 0.030 0.000 0.199 1.178 1.997 881.050 260.729 45.380
-0.011 0.001 0.202 0.028 0.000 0.201 1.177 1.936 879.240 255.317 36.653
-0.013 0.001 0.204 0.027 0.000 0.202 1.177 1.875 884.669 260.729 52.361
-0.014 0.001 0.204 0.028 0.000 0.204 1.176 2.686 879.240 258.925 40.144
-0.014 0.001 0.206 0.029 0.000 0.204 1.176 1.997 875.620 251.709 33.162
-0.013 0.001 0.208 0.030 0.000 0.206 1.178 1.936 890.099 248.101 43.635
-0.013 0.001 0.209 -0.013 0.001 0.208 1.178 1.936 872.001 251.709 19.199
-0.015 0.001 0.209 -0.013 0.001 0.207 1.178 2.747 897.338 251.709 26.181
-0.018 0.001 0.211 -0.012 0.001 0.207 1.180 1.630 890.099 240.885 33.162
-0.020 0.001 0.213 -0.011 0.001 0.205 1.181 2.180 862.952 242.689 31.417
-0.022 0.001 0.214 -0.010 0.001 0.201 1.180 1.875 888.289 257.121 27.926
-0.024 0.001 0.214 -0.006 0.001 0.195 1.180 2.625 888.289 253.513 31.417
-0.023 0.001 0.216 -0.002 0.001 0.186 1.179 2.058 877.430 253.513 41.889
-0.019 0.001 0.218 0.004 0.001 0.175 1.180 1.936 866.571 246.297 38.398
-0.015 0.001 0.219 0.010 0.001 0.161 1.180 1.875 879.240 251.709 43.635
-0.010 0.001 0.219 0.019 0.001 0.145 1.179 2.930 886.479 258.925 33.162
-0.002 0.001 0.221 0.028 0.001 0.129 1.179 1.813 873.811 253.513 34.908
0.007 0.001 0.223 0.039 0.001 0.111 1.180 1.997 879.240 240.885 47.125
0.017 0.001 0.224 0.050 0.001 0.094 1.181 1.936 891.909 249.905 34.908
0.029 0.001 0.224 0.064 0.001 0.076 1.179 2.686 872.001 258.925 64.579
0.042 0.001 0.226 0.078 0.001 0.060 1.179 1.875 882.860 258.925 50.616
0.057 0.001 0.228 0.094 0.001 0.044 1.178 1.936 879.240 258.925 40.144
0.072 0.001 0.229 0.110 0.001 0.030 1.178 1.936 882.860 251.709 26.181
0.089 0.001 0.229 0.129 0.001 0.019 1.178 2.563 873.811 253.513 45.380
0.108 0.001 0.231 0.148 0.001 0.010 1.178 2.058 882.860 255.317 33.162
0.127 0.001 0.233 0.169 0.001 0.004 1.178 1.936 890.099 255.317 47.125
0.148 0.001 0.235 0.190 0.001 0.000 1.177 1.936 868.381 255.317 47.125
0.170 0.001 0.235 0.214 0.001 -0.002 1.178 2.686 884.669 249.905 31.417
0.194 0.001 0.236 0.238 0.001 -0.002 1.180 2.058 882.860 240.885 43.635
0.219 0.001 0.238 0.264 0.001 -0.002 1.181 2.058 877.430 242.689 24.435
0.245 0.001 0.240 0.290 0.001 0.238 1.182 1.752 890.099 251.709 43.635
0.272 0.002 0.240 0.319 0.001 0.240 1.182 2.869 882.860 248.101 47.125
0.301 0.002 0.241 0.348 0.001 0.240 1.180 1.875 877.430 260.729 31.417
0.330 0.002 0.243 0.379 0.001 0.241 1.179 1.813 873.811 260.729 48.871
0.359 0.002 0.245 0.410 0.001 0.243 1.177 2.058 870.191 260.729 31.417
0.388 0.002 0.245 0.444 0.001 0.245 1.177 2.747 884.669 257.121 27.926
0.417 0.002 0.246 0.478 0.001 0.245 1.177 1.875 884.669 257.121 27.926
0.446 0.002 0.248 0.513 0.001 0.246 1.177 1.936 879.240 255.317 47.125
0.474 0.002 0.250 0.549 0.001 0.248 1.176 2.058 886.479 258.925 43.635
0.503 0.002 0.250 0.585 0.001 0.250 1.177 2.747 886.479 255.317 43.635
0.533 0.001 0.252 0.622 0.000 0.250 1.178 1.997 893.719 248.101 29.672
0.562 0.001 0.253 0.658 0.000 0.252 1.180 2.058 882.860 244.493 43.635
0.591 0.001 0.255 0.694 0.000 0.253 1.178 1.875 877.430 264.336 45.380
0.621 0.001 0.255 0.730 0.000 0.255 1.179 2.869 886.479 244.493 26.181
0.650 0.001 0.256 0.767 0.000 0.255 1.180 1.752 888.289 246.297 41.889
0.680 0.001 0.258 0.803 0.000 0.256 1.178 1.936 884.669 264.336 48.871
0.710 0.001 0.260 0.839 0.000 0.258 1.180 1.875 884.669 246.297 41.889
0.739 0.001 0.260 0.875 0.000 0.260 1.180 2.930 891.909 249.905 52.361
0.769 0.001 0.262 0.912 0.000 0.260 1.181 1.997 891.909 249.905 52.361
0.799 0.001 0.263 0.948 0.000 0.262 1.180 1.997 888.289 260.729 45.380
0.829 0.001 0.265 0.984 0.000 0.263 1.179 2.119 891.909 260.729 34.908
0.859 0.001 0.265 1.020 0.000 0.265 1.178 2.686 884.669 260.729 48.871
0.889 0.001 0.267 1.057 0.000 0.265 1.179 1.997 872.001 244.493 43.635
0.918 0.001 0.269 1.093 0.000 0.267 1.179 1.875 875.620 255.317 36.653
0.948 0.001 0.270 1.129 0.000 0.269 1.178 1.875 879.240 258.925 47.125
0.978 0.001 0.270 1.165 0.000 0.270 1.178 2.747 868.381 251.709 47.125
1.008 0.001 0.272 1.202 0.000 0.270 1.179 2.058 881.050 246.297 24.435
1.038 0.001 0.274 1.238 0.000 0.272 1.180 1.813 893.719 244.493 36.653
1.068 0.001 0.275 1.274 0.000 0.274 1.181 1.875 875.620 248.101 47.125
1.098 0.001 0.275 1.310 0.000 0.275 1.182 2.625 881.050 242.689 48.871
1.128 0.001 0.277 1.347 0.000 0.275 1.181 1.997 882.860 258.925 43.635
1.158 0.001 0.279 1.383 0.000 0.277 1.181 1.875 886.479 251.709 36.653
1.188 0.001 0.280 1.419 0.000 0.279 1.181 1.997 881.050 253.513 41.889
1.218 0.001 0.280 1.455 0.000 0.280 1.183 2.747 872.001 237.277 43.635
1.248 0.001 0.282 1.491 0.000 0.280 1.182 1.936 882.860 255.317 36.653
1.278 0.001 0.284 1.526 0.000 0.282 1.182 1.875 882.860 251.709 33.162
1.308 0.001 0.285 1.561 0.000 0.284 1.180 1.813 877.430 257.121 38.398
1.338 0.001 0.285 1.594 0.000 0.285 1.180 2.747 884.669 253.513 27.926
1.368 0.001 0.287 1.626 0.000 0.285 1.180 1.936 884.669 253.513 45.380
1.398 0.001 0.289 1.656 0.000 0.287 1.179 1.936 888.289 257.121 41.889
1.428 0.001 0.290 1.686 0.000 0.289 1.178 1.813 879.240 258.925 40.144
1.458 0.001 0.290 1.714 0.000 0.290 1.178 2.747 873.811 253.513 38.398
1.488 0.001 0.292 1.741 0.000 0.290 1.179 1.813 895.528 249.905 34.908
1.518 0.001 0.294 1.766 0.000 0.292 1.179 2.058 882.860 255.317 33.162
1.548 0.001 0.295 1.791 0.000 0.294 1.177 1.936 870.191 260.729 48.871
1.578 0.001 0.295 1.814 0.000 0.295 1.179 2.747 891.909 242.689 34.908
1.608 0.001 0.297 1.836 0.000 0.295 1.182 1.997 879.240 237.277 43.635
1.638 0.001 0.299 1.856 0.000 0.297 1.180 1.752 879.240 258.925 36.653
1.668 0.001 0.300 1.876 0.000 0.299 1.180 1.997 877.430 253.513 41.889
1.698 0.001 0.300 1.894 0.000 0.300 1.181 2.563 884.669 249.905 34.908
1.728 0.001 0.302 1.911 0.000 0.300 1.182 2.119 877.430 239.081 45.380
1.758 0.001 0.304 1.926 0.000 0.302 1.184 1.936 882.860 240.885 54.107
1.788 0.001 0.305 1.941 0.000 0.304 1.184 1.875 881.050 246.297 24.435
1.818 0.001 0.305 1.954 0.000 0.305 1.184 2.563 877.430 249.905 41.889
1.847 0.001 0.307 1.966 0.000 0.305 1.181 1.813 875.620 262.533 47.125
1.874 0.001 0.309 1.976 0.000 0.307 1.179 1.813 875.620 262.533 47.125
1.898 0.001 0.310 1.986 0.000 0.309 1.178 2.058 895.528 260.729 48.871
1.919 0.001 0.310 1.994 0.000 0.310 1.181 2.747 890.099 240.885 43.635
1.938 0.001 0.312 2.001 -0.000 0.310 1.180 1.813 868.381 251.709 36.653
1.953 0.001 0.314 2.006 -0.000 0.312 1.181 2.058 882.860 248.101 36.653
1.967 0.001 0.316 2.011 -0.000 0.314 1.181 1.997 879.240 248.101 33.162
1.980 0.001 0.316 2.014 -0.000 0.316 1.180 2.625 886.479 258.925 40.144
1.991 0.001 0.317 2.016 -0.000 0.316 1.180 1.936 888.289 257.121 45.380
2.000 0.001 0.319 2.017 -0.000 0.317 1.177 1.936 877.430 267.944 41.889
2.007 0.001 0.321 2.017 -0.000 0.319 1.176 1.936 866.571 257.121 41.889
2.013 0.001 0.321 2.017 -0.000 0.321 1.176 2.747 872.001 255.317 50.616
