x_est y_est heading_est x_ref y_ref heading_ref magdwick gyro mag_x mag_y mag_z
0.119 -0.000 0.192 0.131 0.001 0.192 0.703 2.686 647.584 626.931 64.579
0.120 0.000 0.193 0.136 0.001 0.192 0.701 1.813 640.345 608.891 75.051
0.125 0.001 0.195 0.141 0.001 0.193 0.703 2.119 625.867 605.284 57.598
0.130 0.001 0.197 0.148 0.001 0.195 0.699 1.997 633.106 612.499 61.088
0.135 0.001 0.197 0.156 0.001 0.197 0.703 2.686 653.014 621.519 59.343
0.143 0.001 0.199 0.166 0.001 0.197 0.700 1.997 634.916 625.127 66.325
0.153 0.002 0.200 0.176 0.001 0.199 0.708 1.997 645.775 617.911 69.815
0.163 0.002 0.202 0.188 0.001 0.200 0.712 1.936 649.394 621.519 66.325
0.174 0.002 0.202 0.201 0.001 0.202 0.704 2.808 627.676 617.911 69.815
0.188 0.002 0.204 0.216 0.001 0.202 0.707 1.997 634.916 599.872 59.343
0.203 0.002 0.206 0.231 0.001 0.204 0.708 1.997 638.535 617.911 62.834
0.219 0.002 0.207 0.248 0.001 0.206 0.713 1.997 649.394 617.911 62.834
0.236 0.002 0.207 0.266 0.001 0.207 0.716 2.808 649.394 617.911 62.834
0.255 0.002 0.209 0.286 0.001 0.207 0.710 1.875 653.014 621.519 59.343
0.275 0.002 0.211 0.306 0.001 0.209 0.704 1.936 620.437 621.519 69.815
0.296 0.002 0.212 0.327 0.001 0.211 0.705 1.997 633.106 616.107 64.579
0.319 0.002 0.212 0.348 0.001 0.212 0.703 2.686 649.394 625.127 48.871
0.342 0.003 0.214 0.369 0.001 0.212 0.707 1.997 634.916 614.303 62.834
0.365 0.003 0.216 0.390 0.001 0.214 0.704 2.058 633.106 623.323 68.070
0.388 0.003 0.218 0.412 0.001 0.216 0.703 1.997 631.296 610.695 59.343
0.411 0.003 0.218 0.433 0.001 0.218 0.697 2.563 624.057 610.695 69.815
0.434 0.003 0.219 0.454 0.001 0.218 0.696 1.997 620.437 625.127 59.343
0.457 0.003 0.221 0.475 0.001 0.219 0.703 1.997 634.916 614.303 73.306
0.480 0.003 0.223 0.497 0.001 0.221 0.708 2.058 653.014 617.911 62.834
0.503 0.003 0.223 0.518 0.001 0.223 0.711 2.747 653.014 617.911 62.834
0.527 0.003 0.225 0.539 0.001 0.223 0.709 1.997 645.775 635.951 80.288
0.550 0.003 0.226 0.560 0.001 0.225 0.709 1.997 658.443 619.715 75.051
